Created date / time : 22 August 2026 / 15:17:20
Bank 12; Branch 3015; Account 0001464-00 (Streamline)
From date 20240822
To date 20260822
Avail Bal : 363.08 as of 20260821
Ledger Balance : 363.08 as of 20260822
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2024/08/25,2024082501,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-300.00
2024/08/25,2024082502,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/09/05,2024090501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",302.32
2024/09/06,2024090601,D/C,,"D/C FROM Whatarau-Cowan","",13.33
2024/09/09,2024090901,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/09/12,2024091201,D/C,,"D/C FROM KELDERMAN, M A","",13.69
2024/09/15,2024091501,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/09/17,2024091701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-50",302.32
2024/09/17,2024091702,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",200.00
2024/09/17,2024091703,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",102.32
2024/09/20,2024092001,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/09/29,2024092901,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/10/01,2024100101,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-50",302.32
2024/10/05,2024100501,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-230.00
2024/10/15,2024101501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",302.32
2024/10/21,2024102101,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/10/24,2024102401,BILLPAY,,"PMT TO FC12-3274-0737206-00","BILL PAYMENT TO Food",-7.00
2024/10/25,2024102501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",302.32
2024/10/28,2024102801,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-300.00
2024/10/31,2024103101,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-200.00
2024/11/09,2024110901,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
2024/11/09,2024110902,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",200.00
2024/11/15,2024111501,BILLPAY,,"PMT TO FC12-3140-0399459-04","BILL PAYMENT TO Rent Payment",-180.00
