Created date / time : 22 August 2026 / 15:18:23
Bank 12; Branch 3015; Account 0001464-52 (Savings On Call)
From date 20240822
To date 20260822
Avail Bal : 0.00 as of 20260821
Ledger Balance : 0.00 as of 20260822
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2024/08/28,2024082801,D/C,,"D/C FROM COMPASS GROUP NEW ZE","COMPASS WAGED 43832",511.91
2024/09/02,2024090201,INT,,"ASB BANK - INTEREST","CR.INT TO 01/09/2024",0.16
2024/09/02,2024090202,DEBIT,,"IRD:TAX ON INTEREST","",-0.01
2024/09/05,2024090501,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-55",-95.80
2024/09/05,2024090502,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-00",-302.32
2024/09/05,2024090503,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-54",-30.00
2024/09/05,2024090504,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-53",-0.30
2024/09/05,2024090505,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-51",-33.64
2024/09/05,2024090506,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-50.00
2024/09/05,2024090507,D/C,,"D/C FROM From MR A W BRYANT","alex utiliti",94.34
2024/09/05,2024090508,D/C,,"D/C FROM Chandra N","",13.33
2024/09/11,2024091101,D/C,,"D/C FROM COMPASS GROUP NEW ZE","COMPASS WAGED 43832",612.98
2024/09/13,2024091301,D/C,,"D/C FROM From MR A W BRYANT","alex food",16.46
2024/09/17,2024091701,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-55",-100.00
2024/09/17,2024091702,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-54",-30.00
2024/09/17,2024091703,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-53",-30.00
2024/09/17,2024091704,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-51",-150.00
2024/09/17,2024091705,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-00",-200.00
2024/09/17,2024091706,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-00",-102.32
2024/09/17,2024091707,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-124.79
2024/09/20,2024092001,D/C,,"D/C FROM WILKINSON,RYL","",16.46
2024/09/25,2024092501,D/C,,"D/C FROM COMPASS GROUP NEW ZE","COMPASS WAGED 43832",595.16
2024/09/25,2024092502,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
