Created date / time : 22 August 2026 / 15:20:07
Bank 12; Branch 3015; Account 0001464-51 (Savings Plus Monthly)
From date 20240822
To date 20260822
Avail Bal : 15154.42 as of 20260822
Ledger Balance : 15154.42 as of 20260822
Date,Unique Id,Tran Type,Cheque Number,Payee,Memo,Amount

2024/08/30,2024083001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-650.00
2024/08/31,2024083101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/08/2024",10.21
2024/08/31,2024083102,DEBIT,,"IRD:TAX ON INTEREST","",-1.07
2024/09/05,2024090501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",33.64
2024/09/17,2024091701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2024/09/25,2024092501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",75.00
2024/09/30,2024093001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/09/2024",9.01
2024/09/30,2024093002,INT,,"ASB BANK - INTEREST","REWARD INTEREST",1.13
2024/09/30,2024093003,DEBIT,,"IRD:TAX ON INTEREST","",-1.06
2024/10/15,2024101501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2024/10/25,2024102501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",136.26
2024/10/31,2024103101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/10/2024",8.29
2024/10/31,2024103102,DEBIT,,"IRD:TAX ON INTEREST","",-0.87
2024/11/09,2024110901,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",50.00
2024/11/30,2024113001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/11/2024",6.68
2024/11/30,2024113002,DEBIT,,"IRD:TAX ON INTEREST","",-0.70
2024/12/04,2024120401,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",250.00
2024/12/18,2024121801,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",151.00
2024/12/28,2024122801,INT,,"ASB BANK - INTEREST","TD INTEREST EX AC 12-301 5-0001464-74",109.41
2024/12/28,2024122802,DEBIT,,"IRD:TAX ON TD INT","EX AC 12-3015-0001464-74",-11.48
2024/12/28,2024122803,TFR IN,,"INVESTMENT BALANCE","EX AC 12-301 5-0001464-74",7193.99
2024/12/31,2024123101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/12/2024",6.42
2024/12/31,2024123102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",31.68
2024/12/31,2024123103,DEBIT,,"IRD:TAX ON INTEREST","",-4.00
2025/01/04,2025010401,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/01/17,2025011701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/01/18,2025011801,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",188.70
2025/01/18,2025011802,TFR OUT,,"AT TRANSFER","TO NEW ACCOU NT",-6000.00
2025/01/29,2025012901,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/01/31,2025013101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/01/2025",10.32
2025/01/31,2025013102,DEBIT,,"IRD:TAX ON INTEREST","",-1.08
2025/02/12,2025021201,TFR IN,,"FN TRANSFER","EX 12-3015- 0001464-52",30.00
2025/02/27,2025022701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/02/28,2025022801,INT,,"ASB BANK - INTEREST","CR.INT TO 28/02/2025",6.53
2025/02/28,2025022802,DEBIT,,"IRD:TAX ON INTEREST","",-0.68
2025/03/13,2025031301,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/03/28,2025032801,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/03/31,2025033101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/03/2025",4.41
2025/03/31,2025033102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",2.04
2025/03/31,2025033103,DEBIT,,"IRD:TAX ON INTEREST","",-0.67
2025/04/09,2025040901,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/04/27,2025042701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",75.00
2025/04/30,2025043001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/04/2025",4.42
2025/04/30,2025043002,DEBIT,,"IRD:TAX ON INTEREST","",-0.46
2025/05/08,2025050801,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",205.00
2025/05/23,2025052301,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-50",3900.00
2025/05/31,2025053101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/05/2025",5.40
2025/05/31,2025053102,DEBIT,,"IRD:TAX ON INTEREST","",-0.56
2025/06/05,2025060501,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",75.00
2025/06/13,2025061301,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-55",-600.00
2025/06/16,2025061601,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-150.00
2025/06/20,2025062001,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",50.00
2025/06/29,2025062901,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-150.00
2025/06/30,2025063001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-80.00
2025/06/30,2025063002,INT,,"ASB BANK - INTEREST","CR.INT TO 30/06/2025",5.07
2025/06/30,2025063003,DEBIT,,"IRD:TAX ON INTEREST","",-0.53
2025/07/16,2025071601,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/07/18,2025071801,INT,,"ASB BANK - INTEREST","TD INTEREST EX AC 12-301 5-0001464-75",73.33
2025/07/18,2025071802,DEBIT,,"IRD:TAX ON TD INT","EX AC 12-3015-0001464-75",-7.69
2025/07/18,2025071803,TFR IN,,"INVESTMENT BALANCE","EX AC 12-301 5-0001464-75",6064.22
2025/07/20,2025072001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-100.00
2025/07/27,2025072701,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-00",-200.00
2025/07/31,2025073101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/07/2025",5.87
2025/07/31,2025073102,DEBIT,,"IRD:TAX ON INTEREST","",-0.61
2025/08/10,2025081001,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-140.00
2025/08/25,2025082501,TFR OUT,,"AT TRANSFER","TO NEW ACCOU NT",-5000.00
2025/08/31,2025083101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/08/2025",6.39
2025/08/31,2025083102,DEBIT,,"IRD:TAX ON INTEREST","",-0.67
2025/09/12,2025091201,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",100.00
2025/09/30,2025093001,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2025/09/30,2025093002,INT,,"ASB BANK - INTEREST","CR.INT TO 30/09/2025",2.95
2025/09/30,2025093003,DEBIT,,"IRD:TAX ON INTEREST","",-0.30
2025/10/09,2025100901,CREDIT,,"CREDIT","CREDIT INT",5.86
2025/10/09,2025100902,DEBIT,,"DEBIT","IRD:TAX ON INTEREST",-0.61
2025/10/22,2025102201,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",75.00
2025/10/31,2025103101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/10/2025",2.31
2025/10/31,2025103102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",14.60
2025/10/31,2025103103,DEBIT,,"IRD:TAX ON INTEREST","",-1.77
2025/11/30,2025113001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/11/2025",0.50
2025/11/30,2025113002,INT,,"ASB BANK - INTEREST","REWARD INTEREST",17.63
2025/11/30,2025113003,DEBIT,,"IRD:TAX ON INTEREST","",-1.90
2025/12/31,2025123101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/12/2025",0.52
2025/12/31,2025123102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",16.15
2025/12/31,2025123103,DEBIT,,"IRD:TAX ON INTEREST","",-1.75
2026/01/07,2026010701,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",75.00
2026/01/31,2026013101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/01/2026",0.52
2026/01/31,2026013102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",16.25
2026/01/31,2026013103,DEBIT,,"IRD:TAX ON INTEREST","",-1.76
2026/02/25,2026022501,INT,,"ASB BANK - INTEREST","TD INTEREST EX AC 12-301 5-0001464-76",48.30
2026/02/25,2026022502,DEBIT,,"IRD:TAX ON TD INT","EX AC 12-3015-0001464-76",-5.07
2026/02/25,2026022503,TFR IN,,"INVESTMENT BALANCE","EX AC 12-301 5-0001464-76",5042.87
2026/02/28,2026022801,INT,,"ASB BANK - INTEREST","CR.INT TO 28/02/2026",0.50
2026/02/28,2026022802,INT,,"ASB BANK - INTEREST","REWARD INTEREST",15.58
2026/02/28,2026022803,DEBIT,,"IRD:TAX ON INTEREST","",-1.68
2026/03/31,2026033101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/03/2026",0.74
2026/03/31,2026033102,INT,,"ASB BANK - INTEREST","REWARD INTEREST",23.01
2026/03/31,2026033103,DEBIT,,"IRD:TAX ON INTEREST","",-2.49
2026/04/14,2026041401,TFR IN,,"MB TRANSFER","EX 12-3015- 0001464-52",150.00
2026/04/30,2026043001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/04/2026",0.72
2026/04/30,2026043002,INT,,"ASB BANK - INTEREST","REWARD INTEREST",22.40
2026/04/30,2026043003,DEBIT,,"IRD:TAX ON INTEREST","",-2.42
2026/05/05,2026050501,TFR OUT,,"MB TRANSFER","TO 12-3015- 0001464-50",-3000.00
2026/05/16,2026051601,TFR OUT,,"FN TRANSFER","TO 12-3015- 0001464-50",-1000.00
2026/05/31,2026053101,INT,,"ASB BANK - INTEREST","CR.INT TO 31/05/2026",0.62
2026/05/31,2026053102,DEBIT,,"IRD:TAX ON INTEREST","",-0.06
2026/06/30,2026063001,INT,,"ASB BANK - INTEREST","CR.INT TO 30/06/2026",0.56
2026/06/30,2026063002,INT,,"ASB BANK - INTEREST","REWARD INTEREST",17.41
2026/06/30,2026063003,DEBIT,,"IRD:TAX ON INTEREST","",-1.88
